date dx dy dz
210607 0000 -0.026 -0.002 0.635
210608 0000 -0.026 -0.002 0.635
210609 0000 -0.026 -0.002 0.635
210610 0000 -0.026 -0.002 0.635
210611 0000 -0.026 -0.002 0.635
210612 0000 -0.027 -0.002 0.637
210613 0000 -0.027 -0.002 0.637
210614 0000 -0.027 -0.002 0.637
210615 0000 -0.027 -0.002 0.637
210616 0000 -0.027 -0.002 0.637
210617 0000 -0.027 -0.002 0.637
210618 0000 -0.027 -0.002 0.637
210619 0000 -0.027 -0.002 0.637
210620 0000 -0.027 -0.002 0.637
210621 0000 -0.027 -0.002 0.637
210622 0000 -0.027 -0.002 0.637
210623 0000 -0.027 -0.002 0.637
210624 0000 -0.027 -0.002 0.637
210625 0000 -0.027 -0.002 0.637
210626 0000 -0.027 -0.002 0.637
210627 0000 -0.027 -0.002 0.637
210628 0000 -0.027 -0.002 0.637
