date dx dy dz
200208 0000 -0.001 -0.022 -0.010
200209 0000 -0.001 -0.022 -0.008
200210 0000 -0.002 -0.022 -0.010
200211 0000 -0.003 -0.022 -0.007
200212 0000 -0.003 -0.020 -0.009
200213 0000 -0.003 -0.022 -0.007
200214 0000 -0.002 -0.022 -0.010
200215 0000 -0.002 -0.024 -0.007
200216 0000 -0.002 -0.024 -0.007
200217 0000 -0.002 -0.024 -0.007
200218 0000 -0.002 -0.023 -0.009
200219 0000 -0.001 -0.024 -0.010
200220 0000 -0.001 -0.024 -0.010
200221 0000 -0.000 -0.024 -0.011
200222 0000 -0.001 -0.022 -0.010
200223 0000 -0.002 -0.024 -0.009
200224 0000 -0.002 -0.023 -0.007
200225 0000 -0.002 -0.023 -0.008
200226 0000 -0.003 -0.023 -0.007
200227 0000 -0.002 -0.024 -0.009
200228 0000 -0.003 -0.023 -0.007
200229 0000 -0.001 -0.024 -0.010
200301 0000 -0.003 -0.023 -0.007
200302 0000 -0.002 -0.023 -0.008
200303 0000 -0.003 -0.023 -0.004
200304 0000 -0.003 -0.023 -0.007
200305 0000 -0.002 -0.023 -0.008
200306 0000 -0.002 -0.023 -0.008
200307 0000 -0.003 -0.023 -0.007
200308 0000 -0.002 -0.025 -0.009
200309 0000 -0.001 -0.022 -0.010
200310 0000 -0.001 -0.023 -0.010
200311 0000 -0.001 -0.024 -0.010
200312 0000 -0.002 -0.023 -0.010
200313 0000 -0.003 -0.024 -0.007
200314 0000 -0.001 -0.023 -0.010
200315 0000 -0.001 -0.024 -0.008
200316 0000 -0.001 -0.023 -0.011
200317 0000 -0.001 -0.024 -0.010
200318 0000 -0.001 -0.023 -0.011
200319 0000 -0.002 -0.024 -0.008
200320 0000 -0.003 -0.023 -0.004
200321 0000 -0.003 -0.024 -0.004
200322 0000 -0.001 -0.022 -0.008
200323 0000 -0.001 -0.025 -0.010
200324 0000 -0.001 -0.024 -0.008
200325 0000 -0.001 -0.024 -0.010
200326 0000 -0.002 -0.024 -0.008
200327 0000 -0.002 -0.024 -0.008
200328 0000 -0.003 -0.024 -0.007
200329 0000 -0.002 -0.024 -0.008
200330 0000 -0.002 -0.023 -0.010
200331 0000 -0.001 -0.024 -0.010
200401 0000 -0.001 -0.024 -0.011
200402 0000 -0.001 -0.024 -0.006
200403 0000 -0.001 -0.024 -0.007
200404 0000 -0.001 -0.024 -0.008
200405 0000 -0.001 -0.025 -0.010
200406 0000 -0.001 -0.023 -0.010
200407 0000 -0.001 -0.023 -0.010
200408 0000 -0.001 -0.027 -0.008
200409 0000 -0.000 -0.027 -0.011
200410 0000 0.001 -0.027 -0.010
200411 0000 0.001 -0.026 -0.010
200412 0000 -0.000 -0.025 -0.005
200413 0000 0.001 -0.026 -0.008
200414 0000 0.000 -0.025 -0.008
200415 0000 0.002 -0.026 -0.008
200416 0000 0.000 -0.026 -0.006
200417 0000 0.001 -0.025 -0.010
200418 0000 -0.001 -0.025 -0.010
200419 0000 -0.001 -0.025 -0.008
200420 0000 -0.001 -0.024 -0.010
200421 0000 0.000 -0.026 -0.011
200422 0000 -0.000 -0.026 -0.008
200423 0000 -0.001 -0.024 -0.010
200424 0000 -0.000 -0.024 -0.012
200425 0000 -0.001 -0.024 -0.008
200426 0000 -0.002 -0.025 -0.007
200427 0000 -0.001 -0.024 -0.010
200428 0000 -0.002 -0.025 -0.008
200429 0000 -0.003 -0.022 -0.004
200430 0000 -0.003 -0.022 -0.008
200501 0000 -0.003 -0.021 -0.009
200502 0000 -0.003 -0.022 -0.009
200503 0000 -0.001 -0.024 -0.008
200504 0000 -0.002 -0.024 -0.010
200505 0000 -0.001 -0.024 -0.013
200506 0000 -0.003 -0.023 -0.006
200507 0000 -0.002 -0.024 -0.008
200508 0000 -0.002 -0.024 -0.010
200509 0000 -0.002 -0.024 -0.009
200510 0000 -0.002 -0.023 -0.011
200511 0000 -0.002 -0.022 -0.010
200512 0000 -0.002 -0.022 -0.010
200513 0000 -0.002 -0.024 -0.006
200514 0000 -0.001 -0.024 -0.011
200515 0000 -0.002 -0.022 -0.010
200516 0000 -0.002 -0.023 -0.009
200517 0000 -0.002 -0.023 -0.008
200518 0000 -0.002 -0.023 -0.008
200519 0000 -0.003 -0.022 -0.007
200520 0000 -0.003 -0.022 -0.007
200521 0000 -0.002 -0.024 -0.004
200522 0000 -0.002 -0.023 -0.008
200523 0000 -0.002 -0.023 -0.011
200524 0000 -0.002 -0.022 -0.009
200525 0000 -0.003 -0.022 -0.007
200526 0000 -0.001 -0.023 -0.013
200527 0000 -0.002 -0.022 -0.011
200528 0000 -0.002 -0.022 -0.010
200529 0000 -0.002 -0.022 -0.009
200530 0000 -0.002 -0.023 -0.009
200531 0000 -0.002 -0.023 -0.008
200601 0000 -0.002 -0.022 -0.008
200602 0000 -0.002 -0.022 -0.011
200603 0000 -0.002 -0.023 -0.008
200604 0000 -0.002 -0.023 -0.008
200605 0000 -0.001 -0.023 -0.013
200606 0000 -0.002 -0.023 -0.010
200607 0000 -0.002 -0.024 -0.006
200608 0000 -0.001 -0.023 -0.014
200609 0000 -0.001 -0.023 -0.015
200610 0000 -0.001 -0.025 -0.010
200611 0000 -0.002 -0.023 -0.009
200612 0000 -0.001 -0.026 -0.009
200613 0000 -0.001 -0.025 -0.008
200614 0000 -0.002 -0.023 -0.003
200615 0000 -0.001 -0.025 -0.003
200616 0000 -0.001 -0.026 -0.007
200617 0000 -0.001 -0.023 -0.008
200618 0000 -0.002 -0.023 -0.004
200619 0000 -0.001 -0.023 -0.006
200620 0000 -0.001 -0.023 -0.008
200621 0000 -0.001 -0.024 -0.009
200622 0000 -0.000 -0.024 -0.011
200623 0000 -0.001 -0.024 -0.007
200624 0000 -0.001 -0.024 -0.007
200625 0000 -0.002 -0.024 -0.004
200626 0000 -0.002 -0.023 -0.004
200627 0000 -0.002 -0.022 -0.007
200628 0000 -0.002 -0.022 -0.009
200629 0000 -0.000 -0.024 -0.011
200630 0000 -0.000 -0.025 -0.010
200701 0000 -0.000 -0.025 -0.011
200702 0000 0.000 -0.024 -0.016
200703 0000 0.001 -0.025 -0.020
200704 0000 0.000 -0.025 -0.011
200705 0000 0.000 -0.025 -0.011
200706 0000 0.000 -0.025 -0.011
200707 0000 0.000 -0.025 -0.011
200708 0000 -0.000 -0.025 -0.010
200709 0000 0.000 -0.025 -0.011
200710 0000 -0.001 -0.023 -0.011
200711 0000 0.002 -0.027 -0.016
200712 0000 0.002 -0.027 -0.016
200713 0000 0.000 -0.024 -0.016
200714 0000 0.001 -0.027 -0.013
200715 0000 0.001 -0.025 -0.016
200716 0000 0.002 -0.027 -0.016
200717 0000 0.001 -0.027 -0.017
200718 0000 0.000 -0.024 -0.016
200719 0000 0.002 -0.028 -0.016
200720 0000 0.000 -0.024 -0.016
200721 0000 0.002 -0.028 -0.016
200722 0000 -0.000 -0.027 -0.017
200723 0000 -0.000 -0.027 -0.013
200724 0000 0.001 -0.027 -0.011
200725 0000 -0.001 -0.025 -0.011
200726 0000 -0.001 -0.024 -0.011
200727 0000 -0.000 -0.023 -0.014
200728 0000 0.006 -0.021 -0.006
200729 0000 0.165 -0.025 -0.657
200730 0000 0.156 -0.026 -0.664
200731 0000 0.156 -0.027 -0.664
200801 0000 0.161 -0.026 -0.651
200802 0000 0.161 -0.022 -0.650
200803 0000 0.169 -0.021 -0.629
200804 0000 0.156 -0.027 -0.664
200805 0000 0.192 -0.027 -0.534
200806 0000 0.178 -0.027 -0.612
200807 0000 0.195 -0.027 -0.615
200808 0000 0.177 -0.024 -0.644
200809 0000 0.177 -0.027 -0.581
200810 0000 0.195 -0.021 -0.611
200811 0000 0.053 -0.027 -0.831
200812 0000 0.084 -0.027 -0.825
200813 0000 0.089 -0.028 -0.787
200814 0000 NaN -0.021 NaN
200815 0000 NaN -0.027 NaN
200816 0000 NaN -0.021 NaN
200817 0000 NaN -0.028 NaN
200818 0000 NaN -0.027 NaN
200819 0000 0.094 -0.021 -0.799
200820 0000 0.073 -0.027 -0.848
200821 0000 0.079 -0.027 -0.824
200822 0000 NaN -0.028 NaN
200823 0000 NaN -0.030 NaN
200824 0000 0.074 -0.029 -0.847
200825 0000 0.073 -0.030 -0.849
200919 0000 0.007 -0.041 -0.010
200920 0000 0.005 -0.041 -0.006
200921 0000 0.007 -0.042 -0.008
200922 0000 0.004 -0.029 -0.008
200923 0000 -0.003 -0.033 -0.007
200924 0000 -0.004 -0.033 -0.007
200925 0000 -0.002 -0.040 -0.007
200926 0000 0.001 -0.047 -0.007
200927 0000 0.001 -0.046 -0.008
200928 0000 0.003 -0.051 -0.008
200929 0000 0.010 -0.074 -0.008
200930 0000 0.013 -0.079 -0.008
201001 0000 0.011 -0.076 -0.008
201002 0000 0.011 -0.073 -0.008
201003 0000 0.001 -0.048 -0.008
201004 0000 0.004 -0.040 -0.008
201005 0000 0.005 -0.042 -0.008
201006 0000 0.004 -0.039 -0.008
201007 0000 0.004 -0.040 -0.008
201008 0000 0.005 -0.042 -0.008
201009 0000 0.004 -0.042 -0.004
201010 0000 0.004 -0.042 -0.002
201011 0000 0.004 -0.042 -0.002
201012 0000 0.005 -0.042 -0.010
201013 0000 0.002 -0.039 -0.002
201014 0000 0.000 -0.033 -0.005
201015 0000 0.001 -0.033 -0.005
201016 0000 0.002 -0.037 -0.006
201017 0000 0.002 -0.036 -0.007
201018 0000 0.001 -0.036 -0.001
201019 0000 -0.000 -0.033 -0.001
201020 0000 0.000 -0.031 -0.001
201021 0000 -0.000 -0.031 -0.000
201022 0000 0.000 -0.031 -0.004
201023 0000 0.001 -0.035 -0.005
201024 0000 0.002 -0.035 -0.007
201025 0000 0.001 -0.035 -0.006
201026 0000 0.002 -0.035 -0.006
201027 0000 0.002 -0.035 -0.006
201028 0000 0.002 -0.035 -0.006
201029 0000 0.001 -0.035 -0.006
201030 0000 0.001 -0.032 -0.006
201031 0000 0.002 -0.035 -0.006
201101 0000 0.001 -0.034 -0.004
201102 0000 0.001 -0.032 -0.004
201103 0000 0.003 -0.038 -0.006
201104 0000 0.003 -0.038 -0.006
201105 0000 0.002 -0.035 -0.007
201106 0000 0.002 -0.035 -0.006
201107 0000 0.002 -0.036 -0.006
201108 0000 0.001 -0.032 -0.004
201109 0000 0.001 -0.034 -0.004
201110 0000 0.001 -0.032 -0.004
201111 0000 0.002 -0.036 -0.002
201112 0000 0.002 -0.034 -0.007
201113 0000 0.003 -0.037 -0.006
201114 0000 0.003 -0.037 -0.007
201115 0000 0.002 -0.035 -0.006
201116 0000 0.003 -0.037 -0.006
201117 0000 0.003 -0.037 -0.006
201118 0000 0.003 -0.037 -0.006
201119 0000 0.002 -0.037 -0.005
201120 0000 0.001 -0.035 -0.004
201121 0000 0.003 -0.033 -0.006
201122 0000 0.002 -0.032 -0.004
201123 0000 0.003 -0.033 -0.006
201124 0000 0.002 -0.032 -0.004
201125 0000 0.003 -0.033 -0.006
201126 0000 0.002 -0.032 -0.004
201127 0000 0.003 -0.032 -0.000
201128 0000 0.004 -0.032 -0.004
